kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K04546.01,0.7418,0.0164,55.97,Super-Jupiter,1.079,6163.0,1.3282,1.0949,1.5789,False,13.469
K04651.01,1.1926,0.0207,0.74,Rocky (Earth-like),0.837,5600.0,0.9054,0.9039,1.3036,False,13.818
K04653.01,19.9777,0.154,1.08,Rocky (Earth-like),1.221,6362.0,1.9236,1.3176,1.9001,False,13.52
K04871.02,5.5225,0.0623,0.76,Rocky (Earth-like),1.056,6532.0,2.5398,1.514,2.1833,False,13.05
K05058.01,1.7144,0.0304,131.63,Super-Jupiter,1.274,6351.0,3.8592,1.8663,2.6913,False,13.309
K05552.01,295.9581,0.8142,3.83,Mini-Neptune,0.822,5364.0,2.3243,1.4483,2.0887,False,13.344
K05563.01,7.6219,0.083,4.64,Gas Giant,1.312,5222.0,6.6705,2.4536,3.5383,False,13.629
K05564.01,3.4795,0.0568,596.25,Super-Jupiter,2.017,4724.0,117.4798,10.2969,14.8492,False,10.565
K05566.01,0.9887,0.0222,3.19,Mini-Neptune,1.49,6456.0,11.9852,3.2889,4.7429,False,12.551
K05817.01,113.0839,0.4653,1.37,Super-Earth,1.051,6522.0,2.6224,1.5384,2.2186,False,13.336
K06121.01,1.2371,0.0232,75.5,Super-Jupiter,1.094,6131.0,1.3293,1.0953,1.5795,False,13.82
K06235.01,2.0539,0.0318,169.85,Super-Jupiter,1.014,5051.0,9.7641,2.9685,4.2809,False,13.912
K06326.01,14.658,0.1146,165.91,Super-Jupiter,0.934,5146.0,1.6635,1.2253,1.767,False,13.391
K06414.01,5.6279,0.0627,81.76,Super-Jupiter,1.036,6280.0,1.7349,1.2513,1.8045,False,13.858
K04359.01,0.629,0.0159,0.79,Rocky (Earth-like),1.356,6734.0,6.0042,2.3278,3.357,False,11.283
K04452.01,12.8576,0.1003,1.19,Rocky (Earth-like),0.815,5977.0,1.6876,1.2341,1.7797,False,13.821
K04457.01,79.3321,0.3646,1.6,Super-Earth,1.027,6384.0,1.9709,1.3337,1.9233,False,13.815
K04656.01,3.8184,0.0526,1.21,Rocky (Earth-like),1.333,6714.0,4.9154,2.1062,3.0374,False,13.821
K04657.02,10.4315,0.0887,0.6,Rocky (Earth-like),0.856,5366.0,0.4445,0.6334,0.9134,False,13.241
K04881.01,5.6793,0.0648,10.63,Gas Giant,1.127,6514.0,4.0583,1.9138,2.7599,False,12.892
K05317.01,46.2705,0.2567,180.46,Super-Jupiter,1.054,6354.0,1.69,1.235,1.781,False,13.529
K05833.01,440.161,1.1203,3.28,Mini-Neptune,0.968,6277.0,1.3569,1.1066,1.5959,True,13.014
K04367.01,170.9941,0.6069,2.34,Mini-Neptune,1.02,6263.0,1.2537,1.0637,1.534,False,13.985
K04458.01,358.8181,0.957,2.48,Mini-Neptune,0.908,6056.0,1.017,0.958,1.3816,False,13.919
K04557.01,5.7565,0.0648,0.85,Rocky (Earth-like),1.093,6210.0,1.4238,1.1336,1.6347,False,13.666
K04663.01,5.6569,0.06,0.67,Rocky (Earth-like),0.902,5633.0,1.4115,1.1287,1.6276,False,12.715
K04773.01,8.8493,0.0838,0.87,Rocky (Earth-like),1.004,6095.0,1.5256,1.1734,1.6922,False,13.556
K04774.01,51.5677,0.2539,1.3,Super-Earth,0.821,5285.0,0.5371,0.6962,1.004,False,13.882
K04775.01,16.449,0.1353,1.82,Super-Earth,1.22,5346.0,3.2256,1.7062,2.4605,False,12.999
K05093.01,26.7371,0.165,26.06,Super-Jupiter,0.838,6068.0,1.268,1.0698,1.5427,False,12.688
K05323.01,7.1556,0.093,48.37,Super-Jupiter,2.096,4992.0,36.124,5.7098,8.2341,False,13.672
K05597.01,7.7772,0.0744,1.1,Rocky (Earth-like),0.907,5243.0,0.8718,0.887,1.2792,False,13.725
K06034.01,5.2335,0.0588,71.21,Super-Jupiter,0.992,5841.0,0.9968,0.9485,1.3678,False,13.424
K06246.01,9.1331,0.0867,1.46,Super-Earth,1.041,6122.0,1.1712,1.0281,1.4826,False,11.767
K06250.01,1.8532,0.0308,130.35,Super-Jupiter,1.14,6384.0,4.3883,1.9901,2.8699,False,13.085
K06251.01,14.6677,0.1473,112.57,Super-Jupiter,1.98,7517.0,29.8124,5.1871,7.4803,False,13.415
K06338.01,3.4714,0.0492,91.78,Super-Jupiter,1.315,6026.0,3.3749,1.7452,2.5168,False,12.161
K04368.02,39.282,0.2316,58.67,Super-Jupiter,1.074,6143.0,5.8293,2.2937,3.3077,False,13.046
K04567.01,14.7441,0.1179,42.58,Super-Jupiter,1.006,6146.0,1.2471,1.0609,1.5299,False,13.775
K05335.01,1.7526,0.0294,124.27,Super-Jupiter,1.101,5853.0,3.3926,1.7498,2.5234,False,11.388
K05336.01,265.7429,0.8777,2.95,Mini-Neptune,1.277,6543.0,3.6018,1.8029,2.6,False,13.491
K06342.01,8.1771,0.0799,0.78,Rocky (Earth-like),1.017,6501.0,2.3424,1.454,2.0968,False,12.419
K04273.01,17.3733,0.1341,0.97,Rocky (Earth-like),1.065,6122.0,1.6007,1.2019,1.7333,False,12.677
K04377.01,19.8751,0.1645,2.86,Mini-Neptune,1.502,6423.0,11.8523,3.2706,4.7165,False,13.543
K04567.02,4.6725,0.0548,1694.66,Super-Jupiter,1.006,6146.0,1.2471,1.0609,1.5299,False,13.775
K04674.01,4.8435,0.0542,0.81,Rocky (Earth-like),0.906,5762.0,1.1028,0.9976,1.4387,False,13.59
K04907.01,4.0448,0.0508,0.7,Rocky (Earth-like),1.066,6351.0,1.8507,1.2924,1.8638,False,13.778
K02949.01,10.1749,0.0973,1.37,Super-Earth,1.187,6197.0,4.2018,1.9473,2.8083,False,13.313
K02949.02,3.7503,0.05,1.13,Rocky (Earth-like),1.187,6197.0,4.2018,1.9473,2.8083,False,13.313
K03111.01,10.768,0.1016,1.64,Super-Earth,1.206,6070.0,4.7943,2.0801,2.9997,False,12.863
K03111.02,4.3285,0.0553,1.25,Super-Earth,1.206,6070.0,4.7943,2.0801,2.9997,False,12.863
K03114.01,7.4913,0.0743,0.59,Rocky (Earth-like),0.976,6177.0,1.2442,1.0597,1.5281,False,12.277
K03224.01,3.4386,0.0422,0.56,Rocky (Earth-like),0.847,5431.0,0.4737,0.6538,0.9429,False,12.192
K03225.01,4.8754,0.0548,0.82,Rocky (Earth-like),0.924,5511.0,1.5442,1.1805,1.7024,False,12.207
K03310.01,20.5513,0.1462,1.23,Rocky (Earth-like),0.986,5624.0,0.7174,0.8046,1.1604,False,13.55
K02486.01,4.268,0.0523,1.43,Super-Earth,1.048,6395.0,2.2961,1.4395,2.0759,False,13.047
K03035.01,21.342,0.1527,1.69,Super-Earth,1.042,6324.0,2.4777,1.4954,2.1565,False,13.87
K03117.01,6.0667,0.0632,1.19,Rocky (Earth-like),0.915,5705.0,1.7168,1.2448,1.7951,False,13.163
K02720.01,6.5716,0.0728,1.2,Rocky (Earth-like),1.19,6109.0,3.0022,1.6461,2.3738,False,10.338
K03236.01,7.1305,0.0754,0.68,Rocky (Earth-like),1.124,6435.0,1.9575,1.3292,1.9168,False,12.31
K02577.01,18.5558,0.1492,3.56,Mini-Neptune,1.287,6810.0,3.4236,1.7578,2.5349,False,13.506
K02657.01,5.224,0.0553,0.52,Rocky (Earth-like),0.828,5511.0,0.4755,0.6551,0.9447,False,12.869
K02722.05,16.5339,0.1327,1.21,Rocky (Earth-like),1.14,6522.0,2.3964,1.4706,2.1208,False,13.268
K02725.01,0.5875,0.0147,24.28,Super-Jupiter,1.236,5787.0,7.1573,2.5415,3.6652,False,13.744
K03128.01,21.236,0.1516,1.36,Super-Earth,1.03,6099.0,2.0371,1.3559,1.9554,False,13.371
K03244.01,214.7181,0.6694,11.65,Super-Jupiter,0.868,5033.0,2.5268,1.5101,2.1777,False,12.391
K02807.01,3.3757,0.0454,67.64,Super-Jupiter,1.093,6303.0,2.1215,1.3837,1.9955,False,13.91
K02968.01,10.1643,0.0917,0.75,Rocky (Earth-like),0.997,6387.0,2.1428,1.3906,2.0054,False,11.912
K02971.01,6.096,0.0661,0.85,Rocky (Earth-like),1.038,6234.0,1.432,1.1368,1.6394,False,12.742
K00304.02,5.5182,0.0645,1.05,Rocky (Earth-like),1.173,6164.0,4.3139,1.9731,2.8455,False,12.549
K03052.01,10.1296,0.0858,0.92,Rocky (Earth-like),0.821,5466.0,0.7167,0.8043,1.1598,False,13.573
K03248.01,6.9126,0.0682,0.65,Rocky (Earth-like),0.885,5680.0,1.0832,0.9887,1.4259,False,12.419
K02201.01,116.521,0.4592,86.38,Super-Jupiter,0.951,6063.0,1.5756,1.1925,1.7197,False,13.806
K02585.03,7.8784,0.0801,1.06,Rocky (Earth-like),1.104,6474.0,3.1024,1.6733,2.4131,False,13.455
K02590.02,22.7889,0.1674,1.18,Rocky (Earth-like),1.204,6440.0,4.227,1.9532,2.8167,False,11.638
K02732.04,24.5608,0.1708,0.86,Rocky (Earth-like),1.102,6086.0,1.5193,1.171,1.6887,False,12.805
K02813.01,0.6985,0.0131,0.73,Rocky (Earth-like),0.616,5143.0,0.2444,0.4696,0.6773,False,13.586
K02815.01,1.5454,0.0248,0.59,Rocky (Earth-like),0.847,5770.0,0.5988,0.7351,1.0601,False,13.529
K00298.02,57.384,0.2912,1.68,Super-Earth,1.0,5780.0,1.0014,0.9507,1.371,False,12.713
K03340.01,8.954,0.0822,0.86,Rocky (Earth-like),0.925,6168.0,1.1646,1.0252,1.4785,False,13.776
K03340.02,13.7281,0.1093,1.0,Rocky (Earth-like),0.925,6168.0,1.1646,1.0252,1.4785,False,13.776
K03419.01,58.5851,0.3034,120.63,Super-Jupiter,1.085,6391.0,2.6557,1.5482,2.2326,False,13.061
K02516.01,2.8104,0.0387,1.21,Rocky (Earth-like),0.98,5473.0,2.3374,1.4524,2.0945,False,13.388
K02677.01,237.7872,0.7621,5.78,Gas Giant,1.044,6400.0,1.8983,1.3089,1.8876,False,13.46
K02679.01,110.7557,0.4766,12.58,Super-Jupiter,1.177,6528.0,2.1736,1.4006,2.0198,False,13.455
K02984.01,11.4554,0.0977,1.02,Rocky (Earth-like),0.947,6015.0,1.6912,1.2354,1.7816,False,13.066
K03156.01,0.7611,0.0157,4.77,Gas Giant,0.897,6911.0,4.6112,2.04,2.9419,False,7.899
