kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center,radius_diff
7625138,K05406.01,5.7197,2.8,2.09,2493.58756,0.067,0.82,Rocky,1.227,6356.0,5.0931,2.144,3.0918,False,1,11.331,6000-7000K (F dwarf),2.077,0.2779,2.6179,2.5509,2.691,0.18000000000000005
8016692,K06954.01,6.6136,7.4,11.89,12.20806,0.0704,0.57,Rocky,1.065,6067.0,1.2035,1.0422,1.5029,False,1,13.109,6000-7000K (F dwarf),0.9718,0.2778,1.2725499999999998,1.2021499999999998,2.609,0.43000000000000005
11290515,K04716.01,5.8943,3.05,3.49,13.66166,0.0657,0.61,Rocky,1.087,5929.0,1.4535,1.1453,1.6517,False,1,12.322,5000-6000K (G dwarf),1.0796,0.2774,1.3984999999999999,1.3327999999999998,2.632,0.39
7661893,K04296.01,2.4938,4.15,10.94,20.14081,0.0359,0.8,Rocky,0.995,6171.0,1.6118,1.2061,1.7393,False,1,13.03,6000-7000K (F dwarf),1.1702,0.2771,1.4727000000000001,1.4368,2.695,0.19999999999999996
5946568,K05211.01,3.5645,6.05,13.15,150923.47571,0.044,0.57,Rocky,0.894,5461.0,0.5326,0.6933,0.9998,False,1,12.936,5000-6000K (G dwarf),0.6493,0.2765,0.84655,0.80255,2.618,0.43000000000000005
8394475,K07032.01,3.6405,3.85,5.76,8.32788,0.0457,0.66,Rocky,0.961,5955.0,1.1081,1.0,1.4421,False,1,12.646,5000-6000K (G dwarf),0.9543,0.2764,1.22105,1.17535,2.659,0.33999999999999997
10384298,K03224.01,3.4386,3.7,7.6,712.2811,0.0422,0.56,Rocky,0.847,5431.0,0.4737,0.6538,0.9429,False,1,12.192,5000-6000K (G dwarf),0.6116,0.2762,0.79835,0.75615,2.616,0.43999999999999995
9943009,K07258.01,2.4376,4.95,1.53,152.58491,0.0368,0.79,Rocky,1.118,5927.0,2.5919,1.5294,2.2056,False,1,12.66,5000-6000K (G dwarf),1.4926,0.2757,1.8675000000000002,1.8307000000000002,2.707,0.20999999999999996
11401253,K04823.01,4.9651,5.7,14.8,11703.58312,0.0566,1.37,Super-Earth,0.982,5339.0,2.9482,1.6312,2.3523,False,1,12.739,5000-6000K (G dwarf),1.5746,0.2756,1.9917500000000001,1.9351500000000001,2.684,0.3700000000000001
5564082,K06600.01,2.7058,5.25,2.99,843673.73929,0.0365,0.69,Rocky,0.884,5992.0,1.0681,0.9818,1.4159,False,1,10.715,5000-6000K (G dwarf),0.9453,0.2753,1.19885,1.16235,2.678,0.31000000000000005
