kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner
6891512,K05335.01,1.7526,3.55,1.28,370399.46348,0.0294,124.27,Super-Jupiter,1.101,5853.0,3.3926,1.7498,2.5234,False,1,11.388,5000-6000K (G dwarf),1.7204
5524229,K05174.01,22.4933,9.5873,14.75,1066.23991,0.1861,6.04,Gas Giant,1.699,5186.0,16.0945,3.8112,5.4962,False,1,11.4,5000-6000K (G dwarf),3.6251
10514429,K01614.01,20.7194,18.8988,8.79,43.7701,0.1449,2.34,Mini-Neptune,0.946,5837.0,1.9433,1.3243,1.9098,False,1,11.413,5000-6000K (G dwarf),1.1794
11551652,K07455.01,3.7737,7.5,0.63,676.12791,0.0536,2.44,Mini-Neptune,1.44,7302.0,10.9189,3.1392,4.527,False,1,11.419,>7000K (A star),3.0856
5795648,K06016.01,4.5534,4.3,5.56,115098.62927,0.0536,25.84,Super-Jupiter,0.991,6306.0,1.7449,1.2549,1.8097,False,1,11.471,6000-7000K (F dwarf),1.2013
7430876,K03193.01,32.6122,46.6,4.74,17.52307,0.1998,23.98,Super-Jupiter,1.0,5780.0,1.0014,0.9507,1.3709,False,1,11.486,5000-6000K (G dwarf),0.7509
12004971,K03194.01,10.8131,9.45,12.61,66.49986,0.1045,14.77,Super-Jupiter,1.302,6531.0,3.8211,1.857,2.678,False,1,11.487,6000-7000K (F dwarf),1.7525
5263802,K05145.01,3.3502,3.35,0.01,2175.33892,0.0512,588.18,Super-Jupiter,1.595,6915.0,15.7178,3.7663,5.4315,False,1,11.494,6000-7000K (F dwarf),3.7151
4832197,K01661.01,0.9477,0.95,0.24,1728841.2128,0.0182,52.74,Super-Jupiter,0.895,6302.0,2.2789,1.4341,2.0682,False,1,11.51,6000-7000K (F dwarf),1.4159
9002538,K03196.01,4.9606,6.4,13.99,86.43778,0.0607,0.64,Rocky,1.21,6422.0,2.957,1.6336,2.3558,False,1,11.525,6000-7000K (F dwarf),1.5729
8302455,K07014.01,2.442,4.7,3.77,432857.10118,0.0372,88.47,Super-Jupiter,1.156,6078.0,5.1909,2.1644,3.1214,False,1,11.535,6000-7000K (F dwarf),2.1272
9015738,K01616.02,34.7754,29.1,16.32,2935.33356,0.2184,0.67,Rocky,1.149,6028.0,1.2986,1.0826,1.5612,False,1,11.538,6000-7000K (F dwarf),0.8642
3240049,K04968.01,2.9454,4.0,9.46,18371.08795,0.0513,57.62,Super-Jupiter,2.07,4584.0,146.8775,11.5133,16.6034,False,1,11.557,4000-5000K (K dwarf),11.462
8590527,K07065.01,0.7398,0.75,1.38,293322.38383,0.0165,88.34,Super-Jupiter,1.101,6465.0,5.3468,2.1967,3.1679,False,1,11.634,6000-7000K (F dwarf),2.1802
7746958,K02324.01,1.2047,3.8,5.14,6145.11207,0.0222,1.55,Super-Earth,1.0,5780.0,1.0014,0.9507,1.3709,False,1,11.671,5000-6000K (G dwarf),0.9285
10982373,K07395.01,2.0028,2.05,2.36,2622188.97181,0.0396,57.31,Super-Jupiter,2.061,8564.0,24.7809,4.7291,6.8199,False,1,11.696,>7000K (A star),4.6895
8212002,K02593.02,9.5539,8.3,13.12,255.77553,0.0948,0.68,Rocky,1.244,6175.0,2.2284,1.4181,2.0451,False,1,11.714,6000-7000K (F dwarf),1.3233
6515722,K03818.01,1.9085,1.95,2.17,11300.83315,0.0397,3.61,Mini-Neptune,2.294,9174.0,38.8034,5.9178,8.5341,False,1,11.721,>7000K (A star),5.8781
9872292,K01537.01,10.1915,9.35,8.26,418.74163,0.0966,1.39,Super-Earth,1.156,6212.0,3.7888,1.8492,2.6667,False,1,11.74,6000-7000K (F dwarf),1.7526
8801343,K01247.01,2.7399,2.9,5.84,87203.04163,0.0401,20.68,Super-Jupiter,1.15,6534.0,2.9804,1.6401,2.3651,False,1,11.743,6000-7000K (F dwarf),1.6
7905106,K04582.01,4.2243,4.6,8.89,21.74434,0.0494,0.35,Rocky,0.903,5735.0,0.7567,0.8264,1.1918,False,1,11.756,5000-6000K (G dwarf),0.777
4276716,K01619.01,20.6654,9.0142,12.76,1132.76036,0.129,0.66,Rocky,0.671,4830.0,0.2231,0.4488,0.6472,False,1,11.759,4000-5000K (K dwarf),0.3198
11856178,K06246.01,9.1331,3.8,16.79,1202492.82016,0.0867,1.46,Super-Earth,1.041,6122.0,1.1712,1.0281,1.4826,False,1,11.767,6000-7000K (F dwarf),0.9414
6779260,K02678.02,2.2166,4.95,11.66,513425.90726,0.0319,0.48,Rocky,0.878,5397.0,0.5257,0.6888,0.9933,False,1,11.799,5000-6000K (G dwarf),0.6569
4848423,K03560.01,1.5018,1.5,0.12,493813.84113,0.0235,70.1,Super-Jupiter,0.769,6466.0,1.534,1.1766,1.6968,False,1,11.825,6000-7000K (F dwarf),1.1531
11456279,K03204.01,0.5729,0.95,10.54,196.90898,0.0156,1.57,Super-Earth,1.553,7338.0,6.6013,2.4408,3.52,False,1,11.825,>7000K (A star),2.4252
5617259,K07733.01,1.0481,3.25,3.36,58855.76574,0.0246,4.52,Gas Giant,1.799,7673.0,32.1249,5.3845,7.765,False,1,11.86,>7000K (A star),5.3599
6035335,K06648.01,1.0444,0.95,9.04,23802.22727,0.0232,1.17,Rocky,1.523,7274.0,7.242,2.5565,3.6868,False,1,11.865,>7000K (A star),2.5333
9518710,K03207.01,0.9544,0.95,0.46,633.66306,0.0232,2.27,Mini-Neptune,1.836,7056.0,17.2494,3.9456,5.6899,False,1,11.872,>7000K (A star),3.9224
9655005,K04047.01,1.3986,1.55,10.82,203.89441,0.032,2.39,Mini-Neptune,2.228,7872.0,39.0586,5.9372,8.5621,False,1,11.915,>7000K (A star),5.9052
5738698,K06134.01,2.4044,2.4,0.18,8884.16829,0.0353,80.98,Super-Jupiter,1.011,6466.0,2.2962,1.4395,2.076,False,1,11.941,6000-7000K (F dwarf),1.4042
10399321,K04556.01,21.5809,30.9723,4.32,287.9343,0.1554,1.43,Super-Earth,1.074,5790.0,4.2873,1.967,2.8367,False,1,11.981,5000-6000K (G dwarf),1.8116
4996057,K07712.01,4.8302,4.4,8.91,101.8238,0.0535,1.06,Rocky,0.877,5086.0,3.0311,1.654,2.3852,False,1,11.994,5000-6000K (G dwarf),1.6005
12456063,K04329.01,17.801,7.2644,18.38,25.37274,0.1351,0.71,Rocky,1.037,6338.0,1.4739,1.1534,1.6633,False,1,12.018,6000-7000K (F dwarf),1.0183
8007675,K06949.01,2.3524,2.15,8.61,827.60083,0.0366,0.8,Rocky,1.185,6751.0,2.6658,1.5511,2.2368,False,1,12.047,6000-7000K (F dwarf),1.5145
5390913,K05156.01,1.6803,0.85,1.18,23631400.32019,0.0251,30.88,Super-Jupiter,0.747,6423.0,2.3707,1.4627,2.1094,False,1,12.075,6000-7000K (F dwarf),1.4376
5716763,K00272.01,1.2813,1.3,1.46,67.11069,0.0221,4.52,Gas Giant,0.881,5918.0,2.8032,1.5906,2.2938,False,1,12.107,5000-6000K (G dwarf),1.5685
6763884,K06763.01,2.4469,4.0,8.98,314.005,0.0358,0.56,Rocky,1.022,5821.0,1.0992,0.996,1.4364,False,1,12.16,5000-6000K (G dwarf),0.9602
3542573,K06338.01,3.4714,6.85,1.34,36635.33863,0.0492,91.78,Super-Jupiter,1.315,6026.0,3.3749,1.7452,2.5168,False,1,12.161,6000-7000K (F dwarf),1.696
10384298,K03224.01,3.4386,3.7,7.6,712.2811,0.0422,0.56,Rocky,0.847,5431.0,0.4737,0.6538,0.9429,False,1,12.192,5000-6000K (G dwarf),0.6116
3109550,K03225.01,4.8755,2.45,0.5,77.83244,0.0546,0.8,Rocky,0.911,5513.0,1.3706,1.1122,1.6039,False,1,12.207,5000-6000K (G dwarf),1.0576
6307083,K02050.02,3.178,5.9,7.17,5385.40643,0.0392,0.74,Rocky,0.793,5061.0,0.4163,0.613,0.884,False,1,12.218,5000-6000K (G dwarf),0.5738
10480952,K05797.01,2.0375,2.1,3.07,4525.7062,0.0338,138.63,Super-Jupiter,1.244,6456.0,6.5886,2.4385,3.5165,False,1,12.22,6000-7000K (F dwarf),2.4047
5986270,K05220.01,1.5347,3.4,10.77,31007.12051,0.0344,31.85,Super-Jupiter,2.309,4961.0,124.7361,10.6101,15.3009,False,1,12.224,4000-5000K (K dwarf),10.5757
11817750,K07482.01,9.7626,5.7,16.77,9037.83112,0.1039,207.01,Super-Jupiter,1.571,7199.0,9.1632,2.8757,4.1471,False,1,12.25,>7000K (A star),2.7718
9780149,K05713.01,2.506,2.5,0.24,199.98043,0.0361,50.95,Super-Jupiter,1.0,5780.0,1.0014,0.9507,1.3709,False,1,12.294,5000-6000K (G dwarf),0.9146
6198182,K02636.02,5.1777,6.75,13.09,2235.91205,0.0592,0.63,Rocky,1.03,5854.0,1.0099,0.9547,1.3767,False,1,12.32,5000-6000K (G dwarf),0.8955
11290515,K04716.01,5.8943,3.05,3.49,13.66166,0.0657,0.61,Rocky,1.087,5929.0,1.4535,1.1453,1.6517,False,1,12.322,5000-6000K (G dwarf),1.0796
3129238,K07645.01,2.0087,3.1,2.89,28425.59538,0.0277,0.55,Rocky,0.705,5341.0,0.4206,0.6161,0.8885,False,1,12.334,5000-6000K (G dwarf),0.5884
12253474,K01947.01,6.4229,7.3,13.66,748.90713,0.0687,1.66,Super-Earth,1.049,6102.0,1.284,1.0765,1.5524,False,1,12.335,6000-7000K (F dwarf),1.0078
4044005,K00969.01,17.512,8.2753,5.49,1890.28536,0.1332,49.0,Super-Jupiter,1.027,5975.0,1.2897,1.0789,1.5558,False,1,12.336,5000-6000K (G dwarf),0.9457
